generation,training_chunk,trial,LR,optimization_metric_name,optimization_metric_value,total_mistag_score
21,21,lr_14e-6,1.4e-05,validation_total_reference_mistag_geomean_percent,0.3557687850387944,0.3557687850387944
21,21,lr_3e-6,3e-06,validation_total_reference_mistag_geomean_percent,0.37363051840677336,0.37363051840677336
21,21,lr_5_75e-6,5.75e-06,validation_total_reference_mistag_geomean_percent,0.37003550705021604,0.37003550705021604
21,21,lr_8_5e-6,8.5e-06,validation_total_reference_mistag_geomean_percent,0.36262136520840044,0.36262136520840044
22,22,lr_11_25e-6,1.125e-05,validation_total_reference_mistag_geomean_percent,0.3568774862606309,0.3568774862606309
22,22,lr_14e-6,1.4e-05,validation_total_reference_mistag_geomean_percent,0.35368328758893325,0.35368328758893325
22,22,lr_3e-6,3e-06,validation_total_reference_mistag_geomean_percent,0.36996869880616995,0.36996869880616995
22,22,lr_5_75e-6,5.75e-06,validation_total_reference_mistag_geomean_percent,0.36795890998525227,0.36795890998525227
22,22,lr_8_5e-6,8.5e-06,validation_total_reference_mistag_geomean_percent,0.360009969393651,0.360009969393651
23,23,lr_11_25e-6,1.125e-05,validation_total_reference_mistag_geomean_percent,0.35802456228583,0.35802456228583
23,23,lr_14e-6,1.4e-05,validation_total_reference_mistag_geomean_percent,0.3543262105699709,0.3543262105699709
23,23,lr_3e-6,3e-06,validation_total_reference_mistag_geomean_percent,0.3699811179762749,0.3699811179762749
23,23,lr_5_75e-6,5.75e-06,validation_total_reference_mistag_geomean_percent,0.36937673241665114,0.36937673241665114
23,23,lr_8_5e-6,8.5e-06,validation_total_reference_mistag_geomean_percent,0.36220439274453353,0.36220439274453353
24,24,lr_11_25e-6,1.125e-05,validation_total_reference_mistag_geomean_percent,0.35718202314897324,0.35718202314897324
24,24,lr_14e-6,1.4e-05,validation_total_reference_mistag_geomean_percent,0.3502103331395126,0.3502103331395126
24,24,lr_3e-6,3e-06,validation_total_reference_mistag_geomean_percent,0.3685222474512505,0.3685222474512505
