fixed_tag,label,generation,member,c_bkg_percent,d_bkg_percent
b_eff_0.80,anchor_copy_lr_recenter_v2_validation,82,lr_11_25e-6,0.16079109532947208,0.07219492488713815
b_eff_0.90,anchor_copy_lr_recenter_v2_validation,82,lr_11_25e-6,3.163564747487992,0.19051439701158446
