fixed_tag,label,generation,member,c_bkg_percent,d_bkg_percent
b_eff_0.80,anchor_copy_lr_recenter_100gen_seed3_20260819_111523,71,lr_9e-6,0.1665329036654315,0.06213669998145456
b_eff_0.90,anchor_copy_lr_recenter_100gen_seed3_20260819_111523,71,lr_9e-6,3.196227889253747,0.18641010701401023
