generation,training_chunk,trial,LR,optimization_metric_name,optimization_metric_value,total_mistag_score
9,9,lr_5_75e-6,5.75e-06,validation_total_reference_mistag_geomean_percent,0.37707720002923595,0.37707720002923595
9,9,lr_8_5e-6,8.5e-06,validation_total_reference_mistag_geomean_percent,0.36782256583370077,0.36782256583370077
10,10,lr_11_25e-6,1.125e-05,validation_total_reference_mistag_geomean_percent,0.37188122042156135,0.37188122042156135
10,10,lr_14e-6,1.4e-05,validation_total_reference_mistag_geomean_percent,0.3681494030009197,0.3681494030009197
10,10,lr_3e-6,1.3500000000000001e-05,validation_total_reference_mistag_geomean_percent,0.37003278281460683,0.37003278281460683
10,10,lr_5_75e-6,9e-06,validation_total_reference_mistag_geomean_percent,0.37180394958252166,0.37180394958252166
10,10,lr_8_5e-6,8.5e-06,validation_total_reference_mistag_geomean_percent,0.3699755686716071,0.3699755686716071
11,11,lr_11_25e-6,1.125e-05,validation_total_reference_mistag_geomean_percent,0.3673973977881852,0.3673973977881852
11,11,lr_14e-6,1.4e-05,validation_total_reference_mistag_geomean_percent,0.3644525588642705,0.3644525588642705
11,11,lr_3e-6,1.3500000000000001e-05,validation_total_reference_mistag_geomean_percent,0.36888135964923,0.36888135964923
11,11,lr_5_75e-6,9e-06,validation_total_reference_mistag_geomean_percent,0.36794230030092795,0.36794230030092795
11,11,lr_8_5e-6,8.5e-06,validation_total_reference_mistag_geomean_percent,0.369530348560501,0.369530348560501
12,12,lr_11_25e-6,1.125e-05,validation_total_reference_mistag_geomean_percent,0.3676153623601129,0.3676153623601129
12,12,lr_14e-6,1.4e-05,validation_total_reference_mistag_geomean_percent,0.3621560937272741,0.3621560937272741
12,12,lr_3e-6,1.3500000000000001e-05,validation_total_reference_mistag_geomean_percent,0.36611055655805747,0.36611055655805747
12,12,lr_5_75e-6,9e-06,validation_total_reference_mistag_geomean_percent,0.36861288983716367,0.36861288983716367
12,12,lr_8_5e-6,8.5e-06,validation_total_reference_mistag_geomean_percent,0.3701883506935942,0.3701883506935942
13,13,lr_11_25e-6,1.125e-05,validation_total_reference_mistag_geomean_percent,0.36731960254790297,0.36731960254790297
13,13,lr_14e-6,1.4e-05,validation_total_reference_mistag_geomean_percent,0.3639107061736498,0.3639107061736498
13,13,lr_3e-6,1.3500000000000001e-05,validation_total_reference_mistag_geomean_percent,0.36525867772236065,0.36525867772236065
13,13,lr_5_75e-6,9e-06,validation_total_reference_mistag_geomean_percent,0.3677172612636124,0.3677172612636124
13,13,lr_8_5e-6,8.5e-06,validation_total_reference_mistag_geomean_percent,0.36919577720708313,0.36919577720708313
14,14,lr_11_25e-6,1.125e-05,validation_total_reference_mistag_geomean_percent,0.3648391289939589,0.3648391289939589
14,14,lr_14e-6,1.4e-05,validation_total_reference_mistag_geomean_percent,0.35852548089248804,0.35852548089248804
14,14,lr_3e-6,1.3500000000000001e-05,validation_total_reference_mistag_geomean_percent,0.3625365573090147,0.3625365573090147
14,14,lr_5_75e-6,9e-06,validation_total_reference_mistag_geomean_percent,0.3658753496552126,0.3658753496552126
14,14,lr_8_5e-6,8.5e-06,validation_total_reference_mistag_geomean_percent,0.3682090006094755,0.3682090006094755
