epoch,checkpoint_sha256,validation_loss,validation_total_reference_mistag_geomean_percent,validation_bc_mistag_eff_0.80_percent,validation_bc_mistag_eff_0.90_percent,validation_bd_mistag_eff_0.80_percent,validation_bd_mistag_eff_0.90_percent,validation_cb_mistag_eff_0.50_percent,validation_cb_mistag_eff_0.80_percent,validation_cd_mistag_eff_0.50_percent,validation_cd_mistag_eff_0.80_percent
0,d925b70bd4a868c4e192933832e0a38b06fb142dd2ee33d1482d12ad25cb0baa,0.3544718229166667,0.9927227111567778,1.1620000315606698,7.989999699015629,0.13799999730468757,0.4359999901538088,1.0299999913558961,4.866000025801621,0.128,2.6320001108447313
1,38ac013551256dca1b53084dbe31de1d4abf2b3061a2a8059ce0b59d1d174636,0.3410554427083333,0.7871489885737103,0.7619999941864014,6.451999953482514,0.11399999860839845,0.327999996796875,0.8200000125122072,4.181999887211841,0.10400000101562501,2.2479999931396484
2,42c98ec7604c60d4fcd114467e735066b890a38f40b0fb7d63d793f940d4bf01,0.34014872395833334,0.7402690512382066,0.6880000285546887,6.265999999043884,0.1020000006225586,0.32,0.8540000204586797,4.100000062561036,0.08799999914062501,2.0799999873046877
3,a427721be880eedb3e1125aa8b157d3417c539c2c05d78c08b0215f62b667eda,0.3290427734375,0.6420067108925099,0.5160000078735353,5.587999903222963,0.0939999958691408,0.2859999914465335,0.7039999931250001,3.7980000170961,0.07199999859375003,1.9340000640377828
4,c6a764caa22e344b5ce1d694fcb956d305ff2c2b215238ca3364a85fd3a3b671,0.31996075520833334,0.5666923887106624,0.43399999509948733,4.815999883891604,0.08199999919921876,0.2659999998376465,0.6519999832861333,3.4000000648498547,0.060000001464843786,1.7540000010705565
5,734e38192930a37a03a0e1f1be776520cb6e30ceb2d0649463b88a34bb2df60d,0.3224636458333333,0.5768501198783365,0.4359999901538088,4.868000174557501,0.08399999958984375,0.26200000479736335,0.6900000010528564,3.484000013290405,0.064,1.7060000382662972
6,7a4b9f9b684e816bb6f6b34bb48b1566cd88971ac4b4788c7c86d57693cb8ce5,0.32178395833333334,0.5871781549493538,0.4,4.985999794773339,0.08399999958984375,0.27599999460937513,0.6580000277111828,3.599999890136722,0.07800000076171876,1.6540000112309265
7,6da30b1a7d86e228177209d543d6741bc2c046724d13f90aab2690c16b831a3b,0.32606084635416666,0.5773040409861133,0.3840000150000006,5.077999882805255,0.08,0.27400000200683594,0.666000016259766,3.580000049163819,0.07400000180664067,1.6359999880175782
8,6669aeca6f78d25e46d74565a6609926b21f707991261a72a8da98f6002b2ee7,0.32141423177083334,0.5532821156007527,0.35199999656250003,4.745999912192919,0.07800000076171876,0.2440000035742188,0.67400000946167,3.496000078950197,0.07199999859375003,1.6280000305548101
9,60ffe6742e0a1f995dc6c12a9797cc35f5ee61e0d247e9b167a36a22c1d1160b,0.31683037760416666,0.5266090404063614,0.31600000771484393,4.324000135586857,0.08199999919921876,0.24600000375366216,0.6580000277111828,3.2940000329219057,0.06600000112792971,1.5000000572204613
10,c7f8c97f51ba292fce5344059e59e4e9eb3786c0991fad9616788ea03c3166f6,0.31410822916666664,0.5292452725458751,0.29800000418334965,4.270000171846397,0.09000000219726569,0.25999999841308596,0.6540000069854737,3.247999984140625,0.060000001464843786,1.6219999584204112
11,ca1dd3fac1c41b484605e11a5997e228c3fc98bbd7929a4f0e2a5523550711ee,0.3187405859375,0.5017803013186711,0.26400000451171884,4.268000069357606,0.08,0.26200000479736335,0.6680000301708998,3.254000035252991,0.05600000164062505,1.3979999317382845
12,5676de510d71eceea157f1bdd17a2e0bed062235ed02469abee986a11af612d2,0.31899263020833335,0.5039541324322933,0.2859999914465335,4.240000006469726,0.08,0.22000000671386738,0.6320000154296879,3.273999911575625,0.064,1.4719999712500005
13,a6093ad633baf78aa5fe069ecad5168df77d57b48bc4d39972ab906ee865a773,0.31240921875,0.5047659724262716,0.32,4.270000171846397,0.07800000076171876,0.22000000671386738,0.6480000158203129,3.3039999732800296,0.062000001059570334,1.3539999307876622
14,356dc6077b88cfd585703212a32364b4beba750224fbaddf931c52224c15c308,0.3179299869791667,0.4976494344266675,0.25,3.9820000062279512,0.08399999958984375,0.2319999988671875,0.6699999683074966,3.1959999283123794,0.06600000112792971,1.3719999669226082
15,306e1584d269c1849e6e1fad012a63ccab71d5af61dcec6a24179d2fc7d1b308,0.31287493489583335,0.4682625762120819,0.20999999359130878,3.6060000867990896,0.08199999919921876,0.2179999950769044,0.6220000239172373,3.0220000645568863,0.06799999900390627,1.3360000603417996
16,477375e700bbf2ac274c7d7caedb4ed63197b4b01586012884827d5ede2f5933,0.30953186197916666,0.4556344461204777,0.19399999597412118,3.4319999722448733,0.07600000259765634,0.2240000065625002,0.611999984685059,3.0360000365972906,0.07000000085449219,1.2599999615478528
17,ae4928aa088b73538597f23b78b51678298e59d23552c9cd2c2e849fb3ced501,0.31153196614583334,0.456704817784357,0.1879999917382816,3.5140000550939186,0.07800000076171876,0.22000000671386738,0.619999975402833,3.058000093322757,0.07000000085449219,1.257999988098755
18,72b2ee9c8bbf0aee6488eecc45b1aa186a40ab177c7184ea8f96d0a058517b10,0.30805036458333335,0.4482423905189563,0.186000003178711,3.409999925203325,0.07600000259765634,0.21399999346923848,0.5960000083666993,2.997999877172399,0.07199999859375003,1.2279999580273453
19,b77fe6e4c26e931f4618f9ba146fa5be0453f6ab9eaff99b9d16a74c008a1b2e,0.30905315104166664,0.4479545526300445,0.186000003178711,3.440000052490235,0.07800000076171876,0.2179999950769044,0.6099999748687754,3.033999979861603,0.06600000112792971,1.2199999497375509
