generation,samples_seen,tier,member,dataset,suffix,status,rank,population_size,metric_name,metric_value,controller_objective_mistag_percent,validation_working_point_mistag_percent,ctag_score,btag_score,total_mistag_score,group_score_warning,btag_c_mistag_percent_at_0p80,btag_d_mistag_percent_at_0p80,btag_c_mistag_percent_at_0p90,btag_d_mistag_percent_at_0p90,ctag_b_mistag_percent_at_0p50,ctag_d_mistag_percent_at_0p50,ctag_b_mistag_percent_at_0p80,ctag_d_mistag_percent_at_0p80,btag_c_mistag_percent_at_0p80_err_low,btag_c_mistag_percent_at_0p80_err_high,btag_c_mistag_percent_at_0p80_passed,btag_c_mistag_percent_at_0p80_total,btag_d_mistag_percent_at_0p80_err_low,btag_d_mistag_percent_at_0p80_err_high,btag_d_mistag_percent_at_0p80_passed,btag_d_mistag_percent_at_0p80_total,btag_c_mistag_percent_at_0p90_err_low,btag_c_mistag_percent_at_0p90_err_high,btag_c_mistag_percent_at_0p90_passed,btag_c_mistag_percent_at_0p90_total,btag_d_mistag_percent_at_0p90_err_low,btag_d_mistag_percent_at_0p90_err_high,btag_d_mistag_percent_at_0p90_passed,btag_d_mistag_percent_at_0p90_total,ctag_b_mistag_percent_at_0p50_err_low,ctag_b_mistag_percent_at_0p50_err_high,ctag_b_mistag_percent_at_0p50_passed,ctag_b_mistag_percent_at_0p50_total,ctag_d_mistag_percent_at_0p50_err_low,ctag_d_mistag_percent_at_0p50_err_high,ctag_d_mistag_percent_at_0p50_passed,ctag_d_mistag_percent_at_0p50_total,ctag_b_mistag_percent_at_0p80_err_low,ctag_b_mistag_percent_at_0p80_err_high,ctag_b_mistag_percent_at_0p80_passed,ctag_b_mistag_percent_at_0p80_total,ctag_d_mistag_percent_at_0p80_err_low,ctag_d_mistag_percent_at_0p80_err_high,ctag_d_mistag_percent_at_0p80_passed,ctag_d_mistag_percent_at_0p80_total
4,2400000,control,lr_14e-6,/data/suehara/part/march/datasets/20250711_ilc_nnqq_sgv_10m_3cat_parquet,val50k_tail,completed,1,4,validation_total_reference_mistag_geomean_percent,0.4159050844670309,1.0064664200094584,1.0064664200094584,0.5670490223311816,0.3050477691935811,0.4159050844670309,,0.1706724446400529,0.0721978199113867,3.214665735170965,0.21859896396312556,0.5136642722420642,0.06818683125174275,2.7007505095381483,1.0929947833581803,0.017522568406417357,0.01952358549542829,85,49803,0.011068828067496553,0.0130713871152251,36,49863,0.07810503690296872,0.07998381508210473,1601,49803,0.01994034596341479,0.02193703299369098,109,49863,0.03104360303422017,0.03302945089343704,256,49838,0.010731290683373553,0.012734010608292552,34,49863,0.07166981510381282,0.07356789690997276,1346,49838,0.045591241504969356,0.04755285730772222,545,49863
4,2400000,control,lr_3e-6,/data/suehara/part/march/datasets/20250711_ilc_nnqq_sgv_10m_3cat_parquet,val50k_tail,completed,4,4,validation_total_reference_mistag_geomean_percent,0.42851590846852766,1.0378908445521193,1.0378908445521193,0.5853412258144414,0.31370741665275886,0.42851590846852766,,0.18661582721816442,0.07217032337273628,3.290859787082838,0.21851569771346074,0.5322674556249541,0.0681608582943078,2.7637737978336747,1.1707630092768178,0.0183591775257567,0.020358269915505253,93,49835,0.0110646131448049,0.013066410537826152,36,49882,0.07898113429707782,0.0808556483095399,1640,49835,0.019932757903164254,0.02192868775112672,109,49882,0.031631034419949466,0.03361816917292698,265,49787,0.010727204220550433,0.012729162368230835,34,49882,0.07252617825016516,0.07442367267951194,1376,49787,0.0471926744049625,0.049150425021377356,584,49882
4,2400000,control,lr_6e-6,/data/suehara/part/march/datasets/20250711_ilc_nnqq_sgv_10m_3cat_parquet,val50k_tail,completed,3,4,validation_total_reference_mistag_geomean_percent,0.4213927343133346,1.0137207574510316,1.0137207574510316,0.5739161730312803,0.30940378556362863,0.4213927343133346,,0.1726214426723283,0.07420777851876853,3.2135688157412208,0.22262335068116917,0.5318721997195692,0.06819093495082586,2.731615333908672,1.0950662034156988,0.01762473267206447,0.01962498873126948,86,49820,0.01123477290034397,0.0132373718140525,37,49860,0.07807881146818241,0.07995699260272965,1601,49820,0.02013200105882621,0.022128646800172486,111,49860,0.03160760202216917,0.033593276996976826,265,49824,0.010731936198969531,0.012734776457503564,34,49860,0.07208254118237778,0.07397991738766485,1361,49824,0.04563622807228218,0.047597878813931266,546,49860
4,2400000,control,lr_9e-6,/data/suehara/part/march/datasets/20250711_ilc_nnqq_sgv_10m_3cat_parquet,val50k_tail,completed,2,4,validation_total_reference_mistag_geomean_percent,0.4173987405720025,1.0121767172681464,1.0121767172681464,0.5736799658186561,0.3036914639026569,0.4173987405720025,,0.1907630580538419,0.07013465648572632,3.2048193566472825,0.19838089034079764,0.5301204702327762,0.0681308138239018,2.7409638396747784,1.0941006528860668,0.018578400885990894,0.02057873168046457,95,49800,0.010892304956971468,0.012893301463993034,35,49904,0.0779900444444856,0.07986933123482753,1596,49800,0.01894509861421357,0.020940955506656717,99,49904,0.0315615458525393,0.03354824810823994,264,49800,0.010722476413186363,0.012723553226685717,34,49904,0.07222122360835068,0.07411913875642398,1365,49800,0.04559619962751071,0.0475561595243831,546,49904
4,2400000,full_holdout,lr_14e-6,/data/suehara/part/march/datasets/20250711_ilc_nnqq_sgv_10m_3cat_parquet,val_holdout,completed,1,4,validation_total_reference_mistag_geomean_percent,0.39657581356754623,1.021318069767027,1.021318069767027,0.5513018827198235,0.28527451263337766,0.39657581356754623,,0.17696484551867636,0.05854271238276986,3.262331559533469,0.195958429160681,0.5232900231310862,0.05556235691014423,2.737152291998551,1.1607423395008396,0.004277895311680861,0.00438367715184598,1667,941995,0.0024429453395182583,0.002549261894076323,550,939485,0.01825408580752655,0.018353316947485737,30731,941995,0.004509879987699703,0.0046159040084428875,1841,939485,0.007374992239713059,0.007479855101403914,4938,943645,0.0023786409559350442,0.0024849638551459503,522,939485,0.01674647459173756,0.016846645307846964,25829,943645,0.010998778715413417,0.011102748881394557,10905,939485
4,2400000,full_holdout,lr_3e-6,/data/suehara/part/march/datasets/20250711_ilc_nnqq_sgv_10m_3cat_parquet,val_holdout,completed,4,4,validation_total_reference_mistag_geomean_percent,0.3982509643920306,1.024780763529911,1.024780763529911,0.5544978493154576,0.286031462222952,0.3982509643920306,,0.17717715184700475,0.05854271238276986,3.273584317205405,0.19712928078493647,0.524031811328078,0.056413887870649125,2.7474314360512966,1.1639355107691474,0.004280487712757545,0.0043862691021450545,1669,941995,0.0024429453395182583,0.002549261894076323,550,939485,0.018284571244295278,0.01838377849304046,30837,941995,0.004523463912923988,0.004629485441124976,1852,939485,0.00738022765812453,0.007485088947606355,4945,943645,0.0023971862175456915,0.002503507303998646,530,939485,0.01677710583536489,0.016877254765149466,25926,943645,0.01101379306939071,0.0111177564375297,10935,939485
4,2400000,full_holdout,lr_6e-6,/data/suehara/part/march/datasets/20250711_ilc_nnqq_sgv_10m_3cat_parquet,val_holdout,completed,3,4,validation_total_reference_mistag_geomean_percent,0.39801380798687863,1.024488963368308,1.024488963368308,0.5539163687984208,0.28599081065586945,0.39801380798687863,,0.17770795567409983,0.05854271238276986,3.2743272689755605,0.19638418879539743,0.5232900231310862,0.056307444143798985,2.7457358944867525,1.1636162193569979,0.004286961893419346,0.004392742155862831,1674,941995,0.0024429453395182583,0.002549261894076323,550,939485,0.0182865823928062,0.018385788063830094,30844,941995,0.004514824306914062,0.00462084742127826,1845,939485,0.007374992239713059,0.007479855101403914,4938,943645,0.002394875759440787,0.002501197072488483,529,939485,0.016772057556102213,0.01687221007950733,25910,943645,0.01101229259458051,0.011116256642503854,10932,939485
4,2400000,full_holdout,lr_9e-6,/data/suehara/part/march/datasets/20250711_ilc_nnqq_sgv_10m_3cat_parquet,val_holdout,completed,2,4,validation_total_reference_mistag_geomean_percent,0.3976286772711813,1.023506920892027,1.023506920892027,0.5533147172720565,0.28574798401881235,0.3976286772711813,,0.17792027230141674,0.05843626912098997,3.268807153608087,0.19617130697696472,0.5224422324903011,0.05620100420876368,2.745205963752189,1.1628711646775045,0.004289548844194622,0.004395328655860497,1676,941995,0.00244067736865696,0.002546994149809766,549,939485,0.018271636401221564,0.01837085379246331,30792,941995,0.00451235282180845,0.004618376389362152,1843,939485,0.007369004287121044,0.007473868945622169,4930,943645,0.002392563113946572,0.002498884653589009,528,939485,0.016770479621192047,0.016870633267603713,25905,943645,0.011008790657303716,0.011112756291390205,10925,939485
9,4800000,control,lr_14e-6,/data/suehara/part/march/datasets/20250711_ilc_nnqq_sgv_10m_3cat_parquet,val50k_tail,completed,1,4,validation_total_reference_mistag_geomean_percent,0.39997361018562266,0.9893945035877865,0.9893945035877865,0.548474236459402,0.2916798606214242,0.39997361018562266,,0.18820324940077987,0.06423767941383117,3.1393904497113585,0.1907056154330009,0.5186659515382581,0.06022282445046673,2.667711998150317,1.0860182606042799,0.01842154741845544,0.020416133549373394,94,49946,0.010393730075005336,0.01239853826195675,32,49815,0.07709383328287113,0.07897024665937877,1568,49946,0.018572811243686083,0.020572542028543916,95,49815,0.03122719602134472,0.03321663531279913,258,49743,0.010034847322681504,0.012039816697000973,30,49815,0.07130304060856442,0.07320607566646507,1327,49743,0.04546536123532299,0.04742914723710606,541,49815
9,4800000,control,lr_3e-6,/data/suehara/part/march/datasets/20250711_ilc_nnqq_sgv_10m_3cat_parquet,val50k_tail,completed,3,4,validation_total_reference_mistag_geomean_percent,0.4027296502144929,0.9773774281587428,0.9773774281587428,0.5647532756157487,0.2871894297293828,0.4027296502144929,,0.17456558909919723,0.06625042872324861,2.9896865712613776,0.19674369018824903,0.5295356559879885,0.06424283792736545,2.6837829357049583,1.1142117163775571,0.017725844090015756,0.019725299713422302,87,49838,0.010569838108285223,0.01257472647146629,33,49811,0.07534723202084585,0.07723371904568392,1490,49838,0.01887968871586696,0.020879337648206438,98,49811,0.03152681165183736,0.03351134568371338,264,49855,0.010394564523338303,0.012399533493147687,32,49811,0.07143533293443825,0.07333344818754271,1338,49855,0.04605978915629312,0.04802260085948508,555,49811
