source_run,generation,training_chunk,samples_seen,epoch_fraction,trial,LR,optimization_metric_name,optimization_metric_value,optimization_metric_mode,controller_objective_mistag_percent,validation_working_point_mistag_percent,ctag_score,btag_score,total_mistag_score,group_score_warning,btag_c_mistag_percent_at_0p80,btag_d_mistag_percent_at_0p80,btag_c_mistag_percent_at_0p90,btag_d_mistag_percent_at_0p90,ctag_b_mistag_percent_at_0p50,ctag_d_mistag_percent_at_0p50,ctag_b_mistag_percent_at_0p80,ctag_d_mistag_percent_at_0p80,btag_c_mistag_percent_at_0p80_err_low,btag_c_mistag_percent_at_0p80_err_high,btag_c_mistag_percent_at_0p80_passed,btag_c_mistag_percent_at_0p80_total,btag_d_mistag_percent_at_0p80_err_low,btag_d_mistag_percent_at_0p80_err_high,btag_d_mistag_percent_at_0p80_passed,btag_d_mistag_percent_at_0p80_total,btag_c_mistag_percent_at_0p90_err_low,btag_c_mistag_percent_at_0p90_err_high,btag_c_mistag_percent_at_0p90_passed,btag_c_mistag_percent_at_0p90_total,btag_d_mistag_percent_at_0p90_err_low,btag_d_mistag_percent_at_0p90_err_high,btag_d_mistag_percent_at_0p90_passed,btag_d_mistag_percent_at_0p90_total,ctag_b_mistag_percent_at_0p50_err_low,ctag_b_mistag_percent_at_0p50_err_high,ctag_b_mistag_percent_at_0p50_passed,ctag_b_mistag_percent_at_0p50_total,ctag_d_mistag_percent_at_0p50_err_low,ctag_d_mistag_percent_at_0p50_err_high,ctag_d_mistag_percent_at_0p50_passed,ctag_d_mistag_percent_at_0p50_total,ctag_b_mistag_percent_at_0p80_err_low,ctag_b_mistag_percent_at_0p80_err_high,ctag_b_mistag_percent_at_0p80_passed,ctag_b_mistag_percent_at_0p80_total,ctag_d_mistag_percent_at_0p80_err_low,ctag_d_mistag_percent_at_0p80_err_high,ctag_d_mistag_percent_at_0p80_passed,ctag_d_mistag_percent_at_0p80_total,validation_accuracy,validation_auc,validation_loss,best_so_far,training_loss,validation_shutdown_warning,validation_dataset,validation_suffix,validation_sample_count,evaluation_type
runs/pbt/fixed_lr_continuation_20260917_lr_14e-6,0,0,0,,lr_14e-6,1.4e-05,validation_total_reference_mistag_geomean_percent,0.343274779800297,min,0.8177499908926398,0.8177499908926398,0.46821469549802497,0.25167423316690724,0.343274779800297,,0.12999999920654298,0.06799999900390627,2.4399998994751018,0.186000003178711,0.39599999879150394,0.05400000131835941,2.2840000111523437,0.9840000150146486,0.015147327248533623,0.01714208735333156,65,50000,0.010701894656100771,0.01269913471129969,34,50000,0.068054163226762,0.06995652517952297,1220,50000,0.018298640498242997,0.020291160647840055,93,50000,0.02711189127868993,0.029096011596283465,198,50000,0.0094384043456773,0.011436204389676428,27,50000,0.06586252554973346,0.06777112737769708,1142,50000,0.043173486498462345,0.04513408728644679,492,50000,0.89362,0.9744598636,0.2796621223958333,0.343274779800297,0.28277119690043717,False,/data/suehara/part/march/datasets/20250711_ilc_nnqq_sgv_10m_3cat_parquet,val50k_tail,,proxy
runs/pbt/fixed_lr_continuation_20260917_lr_14e-6,1,1,0,,lr_14e-6,1.4e-05,validation_total_reference_mistag_geomean_percent,0.3404428624202291,min,0.8157499917925266,0.8157499917925266,0.4641326520910692,0.24971598539922932,0.3404428624202291,,0.128,0.06799999900390627,2.4280000240814212,0.18399999640625006,0.3979999917407228,0.052000000507812505,2.287999931572268,0.9799999910278321,0.015023255758590748,0.017018095861788735,64,50000,0.010701894656100771,0.01269913471129969,34,50000,0.06788829693773375,0.06979113888089493,1214,50000,0.018195055988739096,0.02018765613673616,92,50000,0.027182439332570398,0.029166479651764055,199,50000,0.00924516668895976,0.011243046731358937,26,50000,0.06591970698851118,0.06782814881967497,1144,50000,0.04308450733752373,0.04504526812230802,490,50000,0.89366,0.9744795778333333,0.2795316145833333,0.3404428624202291,0.28197936305172494,False,/data/suehara/part/march/datasets/20250711_ilc_nnqq_sgv_10m_3cat_parquet,val50k_tail,,proxy
runs/pbt/fixed_lr_continuation_20260917_lr_14e-6,2,2,0,,lr_14e-6,1.4e-05,validation_total_reference_mistag_geomean_percent,0.3422201420517039,min,0.8132500062066846,0.8132500062066846,0.4653014456901614,0.2516962427489933,0.3422201420517039,,0.13200000225585942,0.06799999900390627,2.4299999842414857,0.18399999640625006,0.39399998905822786,0.05400000131835941,2.276000086822513,0.9679999905468751,0.01527044818788576,0.01726512829428365,66,50000,0.010701894656100771,0.01269913471129969,34,50000,0.06791597188520564,0.06981873382996724,1215,50000,0.018195055988739096,0.02018765613673616,92,50000,0.027041163032931338,0.02902536334892505,197,50000,0.0094384043456773,0.011436204389676428,27,50000,0.06574800163356431,0.0676569234551283,1138,50000,0.0428164433487024,0.04477768412388689,484,50000,0.8937666666666667,0.9744981150333333,0.279459140625,0.3404428624202291,0.2824261306666692,False,/data/suehara/part/march/datasets/20250711_ilc_nnqq_sgv_10m_3cat_parquet,val50k_tail,,proxy
runs/pbt/fixed_lr_continuation_20260917_lr_14e-6,3,3,0,,lr_14e-6,1.4e-05,validation_total_reference_mistag_geomean_percent,0.3421703151130225,min,0.8145000169738397,0.8145000169738397,0.462455383949488,0.2531715028261695,0.3421703151130225,,0.13399999640136728,0.06799999900390627,2.4240001013452193,0.186000003178711,0.39399998905822786,0.052000000507812505,2.2780000552676407,0.9799999910278321,0.015392639991259324,0.01738724009925721,67,50000,0.010701894656100771,0.01269913471129969,34,50000,0.06783291024577663,0.06973591218573834,1212,50000,0.018298640498242997,0.020291160647840055,93,50000,0.027041163032931338,0.02902536334892505,197,50000,0.00924516668895976,0.011243046731358937,26,50000,0.06577665278554162,0.06768549460870535,1139,50000,0.04308450733752373,0.04504526812230802,490,50000,0.89364,0.9744936029666666,0.2794734635416667,0.3404428624202291,0.2822857516499033,False,/data/suehara/part/march/datasets/20250711_ilc_nnqq_sgv_10m_3cat_parquet,val50k_tail,,proxy
runs/pbt/fixed_lr_continuation_20260917_lr_14e-6,4,4,0,,lr_14e-6,1.4e-05,validation_total_reference_mistag_geomean_percent,0.34229429136583295,min,0.814750012734776,0.814750012734776,0.46602202518019314,0.25141597514910224,0.34229429136583295,,0.12999999920654298,0.06799999900390627,2.4299999842414857,0.186000003178711,0.39000001309204146,0.05400000131835941,2.276000086822513,0.9840000150146486,0.015147327248533623,0.01714208735333156,65,50000,0.010701894656100771,0.01269913471129969,34,50000,0.06791597188520564,0.06981873382996724,1215,50000,0.018298640498242997,0.020291160647840055,93,50000,0.026899160482115422,0.028883520794909055,195,50000,0.0094384043456773,0.011436204389676428,27,50000,0.06574800163356431,0.0676569234551283,1138,50000,0.043173486498462345,0.04513408728644679,492,50000,0.8937466666666667,0.9745072162000001,0.27938174479166666,0.3404428624202291,0.28187550724914445,False,/data/suehara/part/march/datasets/20250711_ilc_nnqq_sgv_10m_3cat_parquet,val50k_tail,,proxy
runs/pbt/fixed_lr_continuation_20260917_lr_14e-6,5,5,0,,lr_14e-6,1.4e-05,validation_total_reference_mistag_geomean_percent,0.339864751674515,min,0.8112499984867861,0.8112499984867861,0.4550820913813457,0.2538180508931241,0.339864751674515,,0.12999999920654298,0.07000000085449219,2.4259999855630494,0.1879999917382816,0.3920000081347658,0.05,2.2699999670944218,0.9640000353027357,0.015147327248533623,0.01714208735333156,65,50000,0.010871397397403768,0.01286855745420266,35,50000,0.06786060972951875,0.0697635316710802,1213,50000,0.018401668178712582,0.020394108329909573,94,50000,0.02697025322873285,0.028954533543126652,196,50000,0.009048206756063586,0.011046166796862796,25,50000,0.06566196724330023,0.06757112906006432,1135,50000,0.042726709348848285,0.04468811012083296,482,50000,0.89378,0.9745233201,0.2793305078125,0.339864751674515,0.28218519354309146,False,/data/suehara/part/march/datasets/20250711_ilc_nnqq_sgv_10m_3cat_parquet,val50k_tail,,proxy
runs/pbt/fixed_lr_continuation_20260917_lr_14e-6,6,6,0,,lr_14e-6,1.4e-05,validation_total_reference_mistag_geomean_percent,0.339765942911676,min,0.8132499985321809,0.8132499985321809,0.45594129711235154,0.25319245414659974,0.339765942911676,,0.12999999920654298,0.07000000085449219,2.4280000240814212,0.186000003178711,0.39000001309204146,0.05,2.279999972167969,0.9719999756762702,0.015147327248533623,0.01714208735333156,65,50000,0.010871397397403768,0.01286855745420266,35,50000,0.06788829693773375,0.06979113888089493,1214,50000,0.018298640498242997,0.020291160647840055,93,50000,0.026899160482115422,0.028883520794909055,195,50000,0.009048206756063586,0.011046166796862796,25,50000,0.06580529047737448,0.06771405230213863,1140,50000,0.04290598690721674,0.04486706768560139,486,50000,0.8938066666666666,0.9745259792666666,0.279308515625,0.339765942911676,0.28210462642555345,False,/data/suehara/part/march/datasets/20250711_ilc_nnqq_sgv_10m_3cat_parquet,val50k_tail,,proxy
runs/pbt/fixed_lr_continuation_20260917_lr_14e-6,7,7,0,,lr_14e-6,1.4e-05,validation_total_reference_mistag_geomean_percent,0.3393086335595448,min,0.8125000152294928,0.8125000152294928,0.45644041641061583,0.252235219907594,0.3393086335595448,,0.12999999920654298,0.06799999900390627,2.4100000882568393,0.18999999768066408,0.39000001309204146,0.05,2.2900000489196786,0.9719999756762702,0.015147327248533623,0.01714208735333156,65,50000,0.010701894656100771,0.01269913471129969,34,50000,0.06763866889655593,0.06954223082531741,1205,50000,0.018504147852544686,0.02049650800534169,95,50000,0.026899160482115422,0.028883520794909055,195,50000,0.009048206756063586,0.011046166796862796,25,50000,0.06594827763822739,0.06785663947099091,1145,50000,0.04290598690721674,0.04486706768560139,486,50000,0.8937733333333333,0.9745259265,0.27930828125,0.3393086335595448,0.2819915053662405,False,/data/suehara/part/march/datasets/20250711_ilc_nnqq_sgv_10m_3cat_parquet,val50k_tail,,proxy
runs/pbt/fixed_lr_continuation_20260917_lr_14e-6,8,8,0,,lr_14e-6,1.4e-05,validation_total_reference_mistag_geomean_percent,0.3384256841393365,min,0.8127499956915478,0.8127499956915478,0.4559233106009004,0.2512087910886296,0.3384256841393365,,0.12999999920654298,0.06799999900390627,2.4219999312603777,0.186000003178711,0.38799999194824236,0.05,2.2820000266377263,0.9760000142968752,0.015147327248533623,0.01714208735333156,65,50000,0.010701894656100771,0.01269913471129969,34,50000,0.06780519847169354,0.06970828041005482,1211,50000,0.018298640498242997,0.020291160647840055,93,50000,0.02682788339137001,0.028812323702563862,194,50000,0.009048206756063586,0.011046166796862796,25,50000,0.0658339147263546,0.06774259655271848,1141,50000,0.042995341186683085,0.044956261968267554,488,50000,0.8938333333333334,0.9745569872333334,0.27909260416666665,0.3384256841393365,0.2818902369896987,False,/data/suehara/part/march/datasets/20250711_ilc_nnqq_sgv_10m_3cat_parquet,val50k_tail,,proxy
runs/pbt/fixed_lr_continuation_20260917_lr_14e-6,9,9,0,,lr_14e-6,1.4e-05,validation_total_reference_mistag_geomean_percent,0.3398627764133903,min,0.8130000189904029,0.8130000189904029,0.45618796859087063,0.2531998096052586,0.3398627764133903,,0.13200000225585942,0.06799999900390627,2.4100000882568393,0.18999999768066408,0.38799999194824236,0.05,2.2920000591046157,0.9740000136730959,0.01527044818788576,0.01726512829428365,66,50000,0.010701894656100771,0.01269913471129969,34,50000,0.06763866889655593,0.06954223082531741,1205,50000,0.018504147852544686,0.02049650800534169,95,50000,0.02682788339137001,0.028812323702563862,194,50000,0.009048206756063586,0.011046166796862796,25,50000,0.06597683493097806,0.06788511676534201,1146,50000,0.04295068763465349,0.04491168841463788,487,50000,0.8937666666666667,0.9745421134333334,0.27922169270833336,0.3384256841393365,0.28204022957584496,False,/data/suehara/part/march/datasets/20250711_ilc_nnqq_sgv_10m_3cat_parquet,val50k_tail,,proxy
